"Representative","Office Running For","Total Raised"
"Ami Bera (D-Calif) ","California District 07","$2919622"
"Jason Lewis (R-Minn) ","Minnesota District 02","$2916211"
"Vernon Buchanan (R-Fla) ","Florida District 16","$2905820"
"Jackie Walorski (R-Ind) ","Indiana District 02","$2889929"
"George Holding (R-NC) ","North Carolina District 02","$2867344"
"Mike Bost (R-Ill) ","Illinois District 12","$2856248"
"Mike Gallagher (R-Wis) ","Wisconsin District 08","$2817157"
"Kevin Hern (R-Okla) ","Oklahoma District 01","$2807162"
"Frank Pallone Jr. (D-NJ) ","New Jersey District 06","$2802832"
"Elise Stefanik (R-NY) ","New York District 21","$2799518"
"John Katko (R-NY) ","New York District 24","$2760682"
"David Young (R-Iowa) ","Iowa District 03","$2759712"
"Dana Rohrabacher (R-Calif) ","California District 48","$2747619"
"Salud Carbajal (D-Calif) ","California District 24","$2732106"
"Ro Khanna (D-Calif) ","California District 17","$2722116"
"Pete Aguilar (D-Calif) ","California District 31","$2718737"
"Tom O'Halleran (D-Ariz) ","Arizona District 01","$2703036"
"Tom Suozzi (D-NY) ","New York District 03","$2693877"
"Sean Patrick Maloney (D-NY) ","New York District 18","$2662474"
"Scott Peters (D-Calif) ","California District 52","$2660918"
"Jaime Herrera Beutler (R-Wash) ","Washington District 03","$2648718"
"Ralph Norman (R-SC) ","South Carolina District 05","$2595747"
"Don Bacon (R-Neb) ","Nebraska District 02","$2589636"
"Bill Foster (D-Ill) ","Illinois District 11","$2581423"
"Steve Knight (R-Calif) ","California District 25","$2573689"
"Dan Donovan (R-NY) ","New York District 11","$2572458"
"Mike Kelly (R-Pa) ","Pennsylvania District 16Current office: Pennsylvania District 03","$2566019"
"David P Joyce (R-Ohio) ","Ohio District 14","$2563185"
"Martha Roby (R-Ala) ","Alabama District 02","$2559441"
"Julia Brownley (D-Calif) ","California District 26","$2552123"
"Leonard Lance (R-NJ) ","New Jersey District 07","$2537776"
"Troy Balderson (R-Ohio) ","Ohio District 12","$2534605"
"Darin LaHood (R-Ill) ","Illinois District 18","$2483378"
"Luke Messer (R-Ind) ","Indiana SenateCurrent office: Indiana District 06","$2479850"
"Keith Ellison (D-Minn) ","Minnesota District 05","$2448142"
"Richard Hudson (R-NC) ","North Carolina District 08","$2447285"
"Garret Graves (R-La) ","Louisiana District 06","$2446336"
"Matt Cartwright (D-Pa) ","Pennsylvania District 08Current office: Pennsylvania District 17","$2396418"
"Todd Rokita (R-Ind) ","Indiana SenateCurrent office: Indiana District 04","$2386096"
"Seth Moulton (D-Mass) ","Massachusetts District 06","$2368561"
"Derek Kilmer (D-Wash) ","Washington District 06","$2349308"
"Virginia Foxx (R-NC) ","North Carolina District 05","$2338916"
"Blaine Luetkemeyer (R-Mo) ","Missouri District 03","$2327359"
"Rod Blum (R-Iowa) ","Iowa District 01","$2311730"
